stage_order,stage,exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,params,note,planner_inner_best_score,planner_n_trials,planner_search_seconds,planner_tuning,planner_inner_scores
1,default_single,EXP-A1,M1,binary,0,0,r0f0,2593,647,138,0.7851622874806801,0.7918064136510738,0.803030303030303,0.7805825242718447,0.4840182648401826,0.603988603988604,0.4970172555676769,0.8776993233303914,0.6452693892368185,106.0,113.0,402.0,26.0,647.0,132.0,515.0,0.3153380733920949,0.1237554681387884,0.534553,0.007132,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,0,1,r0f1,2589,651,138,0.8525345622119815,0.8463437166199947,0.835820895522388,0.8568665377176016,0.6021505376344086,0.7,0.6199433858576437,0.9324316521839544,0.7597149159378628,112.0,74.0,443.0,22.0,651.0,134.0,517.0,0.2065413485784718,0.0541268536913355,0.182526,0.006357,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,0,2,r0f2,2596,644,138,0.8835403726708074,0.8586893442257042,0.816793893129771,0.9005847953216374,0.6772151898734177,0.740484429065744,0.6711137285431504,0.9408657351606328,0.8370494064749844,107.0,51.0,462.0,24.0,644.0,131.0,513.0,0.165020198691735,0.0205202674563036,0.203872,0.00649,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,0,3,r0f3,2585,655,138,0.8458015267175573,0.8327156666572725,0.8102189781021898,0.8552123552123552,0.5967741935483871,0.6873065015479877,0.6001855244760913,0.9230194741143648,0.7505524136369331,111.0,75.0,443.0,26.0,655.0,137.0,518.0,0.2181039614543103,0.0452552227987047,0.207301,0.006676,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,0,4,r0f4,2597,643,138,0.8149300155520995,0.8355051288167938,0.8702290076335878,0.80078125,0.5277777777777778,0.6570605187319885,0.5722146525056176,0.9204735209923663,0.6983341963884748,114.0,102.0,410.0,17.0,643.0,131.0,512.0,0.250310621436472,0.0870709027006314,0.184559,0.006352,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,1,0,r1f0,2593,647,138,0.7758887171561051,0.7803471609296853,0.7878787878787878,0.7728155339805826,0.4705882352941176,0.5892351274787535,0.4764483220115207,0.8839952927331568,0.6283338709523653,104.0,117.0,398.0,28.0,647.0,132.0,515.0,0.2976069632706005,0.0962256024691368,0.184617,0.005783,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,1,1,r1f1,2585,655,138,0.8442748091603054,0.8583248328233027,0.8823529411764706,0.8342967244701349,0.5825242718446602,0.7017543859649122,0.6260416897978021,0.9241471154935964,0.7361510677616461,120.0,86.0,433.0,16.0,655.0,136.0,519.0,0.2194209683123158,0.0469235550006878,0.180934,0.005637,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,1,2,r1f2,2596,644,138,0.8773291925465838,0.8690013838667916,0.8549618320610687,0.8830409356725146,0.6511627906976745,0.7392739273927392,0.6714552876017578,0.936818296802226,0.8168830627868346,112.0,60.0,453.0,19.0,644.0,131.0,513.0,0.1772972409762785,0.0466385240021515,0.183182,0.006014,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,1,3,r1f3,2589,651,138,0.8356374807987711,0.8306847545219638,0.8222222222222222,0.8391472868217055,0.5721649484536082,0.6747720364741642,0.5862420130293654,0.9263996554694228,0.7564198623284719,111.0,83.0,433.0,24.0,651.0,135.0,516.0,0.2247611184308179,0.0755007536233912,0.187426,0.005725,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,1,4,r1f4,2597,643,138,0.8538102643856921,0.8769605796755725,0.916030534351145,0.837890625,0.5911330049261084,0.718562874251497,0.6533143588050389,0.9437768368320612,0.7667845853092577,120.0,83.0,429.0,11.0,643.0,131.0,512.0,0.2004146508304626,0.0425251752805507,0.242231,0.006701,{},config defaults,,,,,
