model_id,class_name,support_mean,recall_mean,recall_sd,recall_fold_ci,precision_mean,precision_sd,precision_fold_ci,f1_mean,f1_sd,f1_fold_ci
M1,Benign,23.6,0.43431884057971015,0.14155876019410338,"[0.2586, 0.6101]",0.4589440686355387,0.08855290431436055,"[0.3490, 0.5689]",0.44278274696879355,0.10947790505735458,"[0.3068, 0.5787]"
M1,MVP,26.8,0.38774928774928774,0.10849801857143888,"[0.2530, 0.5225]",0.42192267502612335,0.03717303832673018,"[0.3758, 0.4681]",0.39716117216117214,0.06188064423882426,"[0.3203, 0.4740]"
M1,Other pathologic,8.0,0.10436507936507936,0.11741271557967389,"[-0.0414, 0.2502]",0.05952380952380952,0.06070261325705696,"[-0.0158, 0.1349]",0.07532467532467532,0.07944637054167593,"[-0.0233, 0.1740]"
M3,Benign,23.6,0.3318115942028986,0.24819454133958432,"[0.0236, 0.6400]",0.4503511303511304,0.16150947026940524,"[0.2498, 0.6509]",0.34325918991233395,0.1907208290989057,"[0.1064, 0.5801]"
M3,MVP,26.8,0.7105413105413104,0.28079376639092196,"[0.3619, 1.0592]",0.455684591914569,0.058154619054976306,"[0.3835, 0.5279]",0.5430433902852141,0.12984507939187467,"[0.3818, 0.7043]"
M3,Other pathologic,8.0,0.0,0.0,"[0.0000, 0.0000]",0.0,0.0,"[0.0000, 0.0000]",0.0,0.0,"[0.0000, 0.0000]"
M4,Benign,23.6,0.49968115942028984,0.2443382930043332,"[0.1963, 0.8031]",0.4419715447154472,0.1623045749547009,"[0.2404, 0.6435]",0.4600372145584911,0.1850386062946887,"[0.2303, 0.6898]"
M4,MVP,26.8,0.5230769230769231,0.15356363211663965,"[0.3324, 0.7138]",0.4600942950006671,0.058995072882200815,"[0.3868, 0.5333]",0.4815819209039548,0.09976649616186051,"[0.3577, 0.6055]"
M4,Other pathologic,8.0,0.02222222222222222,0.04969039949999532,"[-0.0395, 0.0839]",0.05,0.1118033988749895,"[-0.0888, 0.1888]",0.03076923076923077,0.06880209161537815,"[-0.0547, 0.1162]"
M5,Benign,23.6,0.4419275362318841,0.16429487235749557,"[0.2379, 0.6459]",0.43928089813000304,0.09232313212836496,"[0.3246, 0.5539]",0.4337319638053314,0.11507570725475744,"[0.2908, 0.5766]"
M5,MVP,26.8,0.5897435897435898,0.13526014211360934,"[0.4218, 0.7577]",0.4837999487651132,0.04258084438157566,"[0.4309, 0.5367]",0.5269011174908675,0.07479231037625408,"[0.4340, 0.6198]"
M5,Other pathologic,8.0,0.02222222222222222,0.04969039949999532,"[-0.0395, 0.0839]",0.06666666666666667,0.14907119849998599,"[-0.1184, 0.2518]",0.03333333333333333,0.07453559924999299,"[-0.0592, 0.1259]"
M6,Benign,23.6,0.41662318840579704,0.23339860685710986,"[0.1268, 0.7064]",0.4788443582561229,0.15147944886608578,"[0.2908, 0.6669]",0.4294049096996776,0.17414634101053555,"[0.2132, 0.6456]"
M6,MVP,26.8,0.7031339031339031,0.20711094619682752,"[0.4460, 0.9603]",0.48938890604502366,0.07111427964851645,"[0.4011, 0.5777]",0.5686761981869614,0.11710792222820678,"[0.4233, 0.7141]"
M6,Other pathologic,8.0,0.0,0.0,"[0.0000, 0.0000]",0.0,0.0,"[0.0000, 0.0000]",0.0,0.0,"[0.0000, 0.0000]"
M7,Benign,23.6,0.42468115942028983,0.32154536043857906,"[0.0254, 0.8239]",0.3986382113821138,0.1961454198515298,"[0.1551, 0.6422]",0.3904969846734337,0.25682386641122346,"[0.0716, 0.7094]"
M7,MVP,26.8,0.6045584045584046,0.22441572112818078,"[0.3259, 0.8832]",0.4628973253036975,0.06106293264401142,"[0.3871, 0.5387]",0.5085485805677729,0.11176552432500864,"[0.3698, 0.6473]"
M7,Other pathologic,8.0,0.0,0.0,"[0.0000, 0.0000]",0.0,0.0,"[0.0000, 0.0000]",0.0,0.0,"[0.0000, 0.0000]"
